no,value
2017-07-26 23:31:27,0.3891
2017-07-26 23:36:27,95.8472
2017-07-26 23:41:27,96.6861
2017-07-26 23:46:27,95.9381
2017-07-26 23:51:27,96.4253
2017-07-26 23:56:27,96.4194
2017-07-27 00:01:27,95.6885
2017-07-27 00:06:27,95.6076
2017-07-27 00:11:27,71.4078
2017-07-27 00:16:27,71.8548
2017-07-27 00:21:27,72.4355
2017-07-27 00:26:27,72.3374
2017-07-27 00:31:27,72.0456
2017-07-27 00:36:27,71.1432
2017-07-27 00:41:27,69.2337
2017-07-27 00:46:27,70.8833
2017-07-27 00:51:27,67.9224
2017-07-27 00:56:27,69.4754
2017-07-27 01:01:27,55.6356
2017-07-27 01:06:27,68.5836
2017-07-27 01:11:27,69.7436
2017-07-27 01:16:27,67.2867
2017-07-27 01:21:27,68.3514
2017-07-27 01:26:27,71.0047
2017-07-27 01:31:27,68.0373
2017-07-27 01:36:27,66.0968
2017-07-27 01:41:27,69.8036
2017-07-27 01:46:27,70.8862
2017-07-27 01:51:27,90.9764
2017-07-27 01:56:27,94.7421
2017-07-27 02:01:27,91.0427
2017-07-27 02:06:27,94.4442
2017-07-27 02:11:27,95.4267
2017-07-27 02:16:27,94.5226
2017-07-27 02:21:27,95.8547
2017-07-27 02:26:27,93.2076
2017-07-27 02:31:27,94.6070
2017-07-27 02:36:27,94.9167
2017-07-27 02:41:27,94.1096
2017-07-27 02:46:27,95.0793
2017-07-27 02:51:27,74.6108
2017-07-27 02:56:27,71.7257
2017-07-27 03:01:27,69.5384
2017-07-27 03:06:27,70.7036
2017-07-27 03:11:27,71.6968
2017-07-27 03:16:27,71.7954
2017-07-27 03:21:27,72.0551
2017-07-27 03:26:27,72.1827
2017-07-27 03:31:27,71.2217
2017-07-27 03:36:27,71.1171
2017-07-27 03:41:27,70.4248
2017-07-27 03:46:27,69.9680
2017-07-27 03:51:27,67.9442
2017-07-27 03:56:27,68.2085
2017-07-27 04:01:27,55.2416
2017-07-27 04:06:27,68.5666
2017-07-27 04:11:27,70.6534
2017-07-27 04:16:27,68.6348
2017-07-27 04:21:27,69.4597
2017-07-27 04:26:27,65.8442
2017-07-27 04:31:27,68.7445
2017-07-27 04:36:27,68.7482
2017-07-27 04:41:27,94.1818
2017-07-27 04:46:27,94.6650
2017-07-27 04:51:27,94.3933
2017-07-27 04:56:27,95.1556
2017-07-27 05:01:27,92.0360
2017-07-27 05:06:27,94.7539
2017-07-27 05:11:27,93.0993
2017-07-27 05:16:27,96.3416
2017-07-27 05:21:27,95.8673
2017-07-27 05:26:27,96.3376
2017-07-27 05:31:27,96.1276
2017-07-27 05:36:27,95.9669
2017-07-27 05:41:27,72.0639
2017-07-27 05:46:27,71.74
2017-07-27 05:51:27,72.0503
2017-07-27 05:56:27,72.3827
2017-07-27 06:01:27,71.4666
2017-07-27 06:06:27,71.6248
2017-07-27 06:11:27,71.7620
2017-07-27 06:16:27,71.7771
2017-07-27 06:21:27,65.5964
2017-07-27 06:26:27,67.8029
2017-07-27 06:31:27,68.6649
2017-07-27 06:36:27,68.3045
2017-07-27 06:41:27,69.3804
2017-07-27 06:46:27,68.7401
2017-07-27 06:51:27,69.5003
2017-07-27 06:56:27,66.9551
2017-07-27 07:01:27,59.4115
2017-07-27 07:06:27,70.3628
2017-07-27 07:11:27,70.5089
2017-07-27 07:16:27,95.2129
2017-07-27 07:21:27,94.9153
2017-07-27 07:26:27,95.7410
2017-07-27 07:31:27,95.3156
2017-07-27 07:36:27,95.6983
2017-07-27 07:41:27,95.0764
2017-07-27 07:46:27,95.8460
2017-07-27 07:51:27,95.6404
2017-07-27 07:56:27,96.1902
2017-07-27 08:01:27,94.9488
2017-07-27 08:06:27,93.2471
2017-07-27 08:11:27,96.2246
2017-07-27 08:16:27,70.6401
2017-07-27 08:21:27,71.1860
2017-07-27 08:26:27,71.51
2017-07-27 08:31:27,72.2192
2017-07-27 08:36:27,72.1540
2017-07-27 08:41:27,72.1457
2017-07-27 08:46:27,69.1460
2017-07-27 08:51:27,71.5439
2017-07-27 08:56:27,71.1823
2017-07-27 09:01:27,59.0599
2017-07-27 09:06:27,69.0855
2017-07-27 09:11:27,67.5544
2017-07-27 09:16:27,65.6076
2017-07-27 09:21:27,68.9519
2017-07-27 09:26:27,67.7491
2017-07-27 09:31:27,66.5168
2017-07-27 09:36:27,68.1792
2017-07-27 09:41:27,67.3353
2017-07-27 09:46:27,65.1329
2017-07-27 09:51:27,69.8352
2017-07-27 09:56:27,69.8140
2017-07-27 10:01:27,45.1018
2017-07-27 10:06:27,95.6417
2017-07-27 10:11:27,95.6931
2017-07-27 10:16:27,94.1745
2017-07-27 10:21:27,93.5441
2017-07-27 10:26:27,92.7881
2017-07-27 10:31:27,94.4468
2017-07-27 10:36:27,96.1032
2017-07-27 10:41:27,95.9194
2017-07-27 10:46:27,95.8293
2017-07-27 10:51:27,93.0007
2017-07-27 10:56:27,93.6914
2017-07-27 11:01:27,92.6002
2017-07-27 11:06:27,69.3069
2017-07-27 11:11:27,71.0521
2017-07-27 11:16:27,70.6903
2017-07-27 11:21:27,72.3013
2017-07-27 11:26:27,72.2146
2017-07-27 11:31:27,70.7173
2017-07-27 11:36:27,70.5496
2017-07-27 11:41:27,70.3332
2017-07-27 11:46:27,70.2261
2017-07-27 11:51:27,71.0774
2017-07-27 11:56:27,69.2442
2017-07-27 12:01:27,65.5128
2017-07-27 12:06:27,69.2394
2017-07-27 12:11:27,67.2574
2017-07-27 12:16:27,65.8180
2017-07-27 12:21:27,67.2258
2017-07-27 12:26:27,64.8739
2017-07-27 12:31:27,66.5501
2017-07-27 12:36:27,66.6514
2017-07-27 12:41:27,66.1134
2017-07-27 12:46:27,68.7991
2017-07-27 12:51:27,66.9580
2017-07-27 12:56:27,70.3511
2017-07-27 13:01:27,56.2323
2017-07-27 13:06:27,70.3580
2017-07-27 13:11:27,62.2664
2017-07-27 13:16:27,95.1560
2017-07-27 13:21:27,95.6390
2017-07-27 13:26:27,95.4175
2017-07-27 13:31:27,94.9353
2017-07-27 13:36:27,95.5590
2017-07-27 13:41:27,92.8711
2017-07-27 13:46:27,94.6854
2017-07-27 13:51:27,91.4537
2017-07-27 13:56:27,0.3137
2017-07-27 14:01:27,93.9690
2017-07-27 14:06:27,92.8232
2017-07-27 14:11:27,96.1222
2017-07-27 14:16:27,68.8265
2017-07-27 14:21:27,71.6991
2017-07-27 14:26:27,70.7402
2017-07-27 14:31:27,71.1670
2017-07-27 14:36:27,71.7056
2017-07-27 14:41:27,63.3322
2017-07-27 14:46:27,68.2957
2017-07-27 14:51:27,70.1681
2017-07-27 14:56:27,71.0047
2017-07-27 15:01:27,70.8222
2017-07-27 15:06:27,70.6147
2017-07-27 15:11:27,70.7617
2017-07-27 15:16:27,71.2056
2017-07-27 15:21:27,71.5070
2017-07-27 15:26:27,69.4724